user_id,signup_month,month,spend
0,0,1,500
0,0,2,483
0,0,3,478
0,0,4,470
0,0,5,448
0,0,6,435
0,0,7,471
0,0,8,412
0,0,9,432
0,0,10,427
0,0,11,401
0,0,12,387
1,6,1,499
1,6,2,502
1,6,3,494
1,6,4,458
1,6,5,460
1,6,6,441
1,6,7,539
1,6,8,527
1,6,9,505
1,6,10,511
1,6,11,499
1,6,12,470
2,6,1,486
2,6,2,464
2,6,3,443
2,6,4,476
2,6,5,426
2,6,6,470
2,6,7,534
2,6,8,504
2,6,9,561
2,6,10,510
2,6,11,471
2,6,12,440
3,6,1,504
3,6,2,475
3,6,3,457
3,6,4,495
3,6,5,442
3,6,6,447
3,6,7,529
3,6,8,513
3,6,9,533
3,6,10,491
3,6,11,510
3,6,12,463
4,1,1,514
4,1,2,546
4,1,3,548
4,1,4,552
4,1,5,531
4,1,6,527
4,1,7,515
4,1,8,534
4,1,9,507
4,1,10,553
4,1,11,506
4,1,12,478
5,0,1,485
5,0,2,475
5,0,3,472
5,0,4,479
5,0,5,451
5,0,6,464
5,0,7,439
5,0,8,471
5,0,9,401
5,0,10,417
5,0,11,411
5,0,12,433
6,3,1,520
6,3,2,503
6,3,3,477
6,3,4,549
6,3,5,525
6,3,6,554
6,3,7,513
6,3,8,463
6,3,9,519
6,3,10,516
6,3,11,510
6,3,12,512
7,0,1,503
7,0,2,510
7,0,3,489
7,0,4,452
7,0,5,435
7,0,6,406
7,0,7,435
7,0,8,376
7,0,9,395
7,0,10,394
7,0,11,374
7,0,12,418
8,3,1,476
8,3,2,496
8,3,3,468
8,3,4,522
8,3,5,559
8,3,6,534
8,3,7,537
8,3,8,498
8,3,9,504
8,3,10,515
8,3,11,522
8,3,12,482
9,8,1,493
9,8,2,444
9,8,3,450
9,8,4,456
9,8,5,448
9,8,6,422
9,8,7,417
9,8,8,417
9,8,9,504
9,8,10,463
9,8,11,459
9,8,12,475
10,0,1,480
10,0,2,454
10,0,3,515
10,0,4,452
10,0,5,473
10,0,6,424
10,0,7,474
10,0,8,450
10,0,9,379
10,0,10,401
10,0,11,362
10,0,12,370
11,4,1,474
11,4,2,463
11,4,3,491
11,4,4,427
11,4,5,532
11,4,6,541
11,4,7,534
11,4,8,503
11,4,9,507
11,4,10,523
11,4,11,523
11,4,12,456
12,1,1,492
12,1,2,583
12,1,3,560
12,1,4,516
12,1,5,532
12,1,6,562
12,1,7,542
12,1,8,568
12,1,9,510
12,1,10,462
12,1,11,517
12,1,12,477
13,0,1,461
13,0,2,540
13,0,3,486
13,0,4,464
13,0,5,465
13,0,6,453
13,0,7,463
13,0,8,459
13,0,9,405
13,0,10,410
13,0,11,383
13,0,12,378
14,1,1,497
14,1,2,593
14,1,3,582
14,1,4,533
