"","state","dates","popularity","west_coast","controls","new_album"
"1","Alabama","2020-03-01",12.3146026091897,0,0,0
"2","Alabama","2020-03-08",11.5189213318664,0,0,0
"3","Alabama","2020-03-15",15.3263072795679,0,0,0
"4","Alabama","2020-03-22",19.0247300831128,0,0,0
"5","Alabama","2020-03-29",12.690314498299,0,0,0
"6","Alabama","2020-04-05",11.4129093941657,0,0,0
"7","Alabama","2020-04-12",8.02270387046137,0,0,0
"8","Alabama","2020-04-19",13.2119632538123,0,0,0
"9","Alabama","2020-04-26",12.5903235974036,0,0,0
"10","Alabama","2020-05-03",12.4639917119979,0,0,0
"11","Alabama","2020-05-10",10.5988000189616,0,0,0
"12","Alabama","2020-05-17",17.7197307069967,0,0,0
"13","Alabama","2020-05-24",16.0933736201296,0,0,0
"14","Alabama","2020-05-31",13.168585659443,0,0,0
"15","Alabama","2020-06-07",8.93243457063151,0,0,0
"16","Alabama","2020-06-14",7.30314568775294,0,0,0
"17","Alabama","2020-06-21",7.23767196338609,0,0,0
"18","Alabama","2020-06-28",4.19535532671953,0,0,0
"19","Alabama","2020-07-05",8.94985352216023,0,0,0
"20","Alabama","2020-07-12",9.77592527671567,0,0,0
"21","Alabama","2020-07-19",12.2909732135846,0,0,0
"22","Alabama","2020-07-26",14.4656646391664,0,0,0
"23","Alabama","2020-08-02",13.9016995670737,0,0,0
"24","Alabama","2020-08-09",56.6749566660838,0,0,0
"25","Alabama","2020-08-16",49.3265219931279,0,0,0
"26","Alabama","2020-08-23",24.6916472590754,0,0,0
"27","Alabama","2020-08-30",14.072505340894,0,0,0
"28","Alabama","2020-09-06",13.9300611157646,0,0,0
"29","Alabama","2020-09-13",11.9491175739532,0,0,0
"30","Alabama","2020-09-20",11.6357951811266,0,0,0
"31","Alabama","2020-09-27",15.5833321510086,0,0,0
"32","Alabama","2020-10-04",14.3060616124369,0,0,0
"33","Alabama","2020-10-11",12.7080808804306,0,0,0
"34","Alabama","2020-10-18",13.4269294393155,0,0,0
"35","Alabama","2020-10-25",13.8146721639081,0,0,0
"36","Alabama","2020-11-01",8.49880189268995,0,0,0
"37","Alabama","2020-11-08",10.6879074520204,0,0,0
"38","Alabama","2020-11-15",17.2373439116767,0,0,0
"39","Alabama","2020-11-22",12.3765040228012,0,0,0
"40","Alabama","2020-11-29",12.8554647905626,0,0,0
"41","Alabama","2020-12-06",41.7027925574716,0,0,0
"42","Alabama","2020-12-13",38.4106718160554,0,0,0
