"datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered","count","date","year","month"
"2011-01-01 00:00:00",1,0,0,1,5.83561529893709,10.8649202353101,78.2262752804647,6.45154391961982,23,56,79,2011-01-01,"2011","01"
"2011-01-01 01:00:00",1,0,0,1,6.28306233065461,11.1573900874591,78.9532192039586,0,28,72,100,2011-01-01,"2011","01"
"2011-01-01 02:00:00",1,0,0,1,5.86216582036226,10.0886598461769,85.4189764046632,0,22,71,93,2011-01-01,"2011","01"
"2011-01-01 03:00:00",1,0,0,1,8.61356961883569,12.4027307867315,80.3446537941037,7.82247528844806,25,45,70,2011-01-01,"2011","01"
"2011-01-01 04:00:00",1,0,0,1,7.07394254102168,11.4604526606984,77.3699757041703,5.15292119626517,21,49,70,2011-01-01,"2011","01"
"2011-01-01 05:00:00",1,0,0,2,7.47726017523406,10.4662112193885,75.8265750504151,10.2497196235332,22,41,63,2011-01-01,"2011","01"
"2011-01-01 06:00:00",1,0,0,1,4.85641863056818,11.428426734709,84.175975599629,0,23,38,61,2011-01-01,"2011","01"
"2011-01-01 07:00:00",1,0,0,1,6.62906542178314,7.83130734746938,89.1130334175938,2.00459476146805,18,48,66,2011-01-01,"2011","01"
"2011-01-01 08:00:00",1,0,0,1,5.18948114827446,12.6139470740894,75.1723355117049,0,23,51,74,2011-01-01,"2011","01"
"2011-01-01 09:00:00",1,0,0,1,9.40027573720907,13.8610772760942,75.578738170239,0,31,53,84,2011-01-01,"2011","01"
"2011-01-01 10:00:00",1,0,0,1,12.7597722875551,17.020519428304,82.1209837882764,15.8817015644746,32,66,98,2011-01-01,"2011","01"
"2011-01-01 11:00:00",1,0,0,1,11.9525489205703,12.1039567853169,80.5606363173884,25.3993766982639,43,66,109,2011-01-01,"2011","01"
"2011-01-01 12:00:00",1,0,0,1,13.8167320956333,15.83004659943,78.7957915945956,20.0667285699461,52,98,150,2011-01-01,"2011","01"
"2011-01-01 13:00:00",1,0,0,2,17.3396809997569,19.3969294955192,74.1551609919758,17.0212490527731,72,87,159,2011-01-01,"2011","01"
"2011-01-01 14:00:00",1,0,0,2,16.1067590021777,18.8425599921834,72.8216931810188,25.0332019107045,51,118,169,2011-01-01,"2011","01"
"2011-01-01 15:00:00",1,0,0,2,14.9813665815413,18.6274035369108,82.1831126729269,20.6977943103706,63,119,182,2011-01-01,"2011","01"
"2011-01-01 16:00:00",1,0,0,2,13.442291506193,18.493304294115,87.3153635403913,26.9629695741137,58,89,147,2011-01-01,"2011","01"
"2011-01-01 17:00:00",1,0,0,2,16.0617125147398,18.6043764181514,83.1113463800803,23.1007462025873,35,95,130,2011-01-01,"2011","01"
"2011-01-01 18:00:00",1,0,0,3,12.3923716292616,17.9585744016932,83.7037011997767,17.746076945701,26,67,93,2011-01-01,"2011","01"
"2011-01-01 19:00:00",1,0,0,3,18.8405936455581,17.2386381635756,91.2546394868343,16.4705439336226,19,74,93,2011-01-01,"2011","01"
"2011-01-01 20:00:00",1,0,0,2,12.5238200377454,17.9180860693383,94.1440830672911,25.1835543841056,31,65,96,2011-01-01,"2011","01"
"2011-01-01 21:00:00",1,0,0,2,14.9281212328209,17.3640111440215,85.4049180806015,15.7517262474666,28,68,96,2011-01-01,"2011","01"
"2011-01-01 22:00:00",1,0,0,2,13.9239225827858,16.3728748290521,94.2303596605196,17.0486150835342,31,63,94,2011-01-01,"2011","01"
"2011-01-01 23:00:00",1,0,0,2,17.4068091935569,19.1050378376785,88.444531522609,28.4727420699766,40,69,109,2011-01-01,"2011","01"
"2011-01-02 00:00:00",1,0,0,2,14.2312417502491,20.5797995266767,83.129240838538,22.7798497555695,29,49,78,2011-01-02,"2011","01"
"2011-01-02 01:00:00",1,0,0,2,14.1630988618508,17.871343757663,98.0168346062434,20.2284128915457,18,57,75,2011-01-02,"2011","01"
"2011-01-02 02:00:00",1,0,0,2,12.7795568995678,20.3116066006028,99.2431376234237,21.8804453182403,24,54,78,2011-01-02,"2011","01"
"2011-01-02 03:00:00",1,0,0,2,16.3218890645053,18.4420844932071,92.0991588854972,20.9712085976717,22,42,64,2011-01-02,"2011","01"
"2011-01-02 04:00:00",1,0,0,2,13.5445410752003,19.40016688836,97.2019199445732,15.7155620482289,28,45,73,2011-01-02,"2011","01"
"2011-01-02 06:00:00",1,0,0,3,14.7141519854576,17.1177027116822,81.724011470356,27.6254848499697,20,47,67,2011-01-02,"2011","01"
"2011-01-02 07:00:00",1,0,0,2,13.2177728770544,17.7331722469193,76.2531580325415,17.3217015458164,14,35,49,2011-01-02,"2011","01"
"2011-01-02 08:00:00",1,0,0,3,16.9147512440561,18.564497880869,73.9570914457263,13.7876272295847,19,47,66,2011-01-02,"2011","01"
"2011-01-02 09:00:00",1,0,0,2,12.3041407765377,17.3977567364013,73.6550210126859,13.3589601391408,23,62,85,2011-01-02,"2011","01"
"2011-01-02 10:00:00",1,0,0,2,11.5376130094351,14.5381175913574,85.8052641213736,12.6359422089304,27,92,119,2011-01-02,"2011","01"
"2011-01-02 11:00:00",1,0,0,2,10.3799713588612,12.1108671464084,70.4843134655914,16.7749871364083,40,95,135,2011-01-02,"2011","01"
