StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q4,effect,null_effect,null_effect_cap,baseline,outcome
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What is your baseline sickness level? (1: Completely healthy - 10: Very sick)



Read the green piece of paper - 1","In the random assignment, were you assigned to go to the hospital/urgent care?",effect,null_effect,null_effect_cap,baseline,outcome
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID4""}","{""ImportId"":""effect""}","{""ImportId"":""null_effect""}","{""ImportId"":""null_effect_cap""}","{""ImportId"":""baseline""}","{""ImportId"":""outcome""}"
2022-09-15 10:38:54,2022-09-15 10:39:16,IP Address,128.62.20.51,100,22,True,2022-09-15 10:39:17,R_3EPWxPcVTS5Qcmw,,,,,30.2887,-97.7398,qr,EN,9,No,2,1,0,9,8
2022-09-15 10:38:55,2022-09-15 10:39:22,IP Address,128.62.27.17,100,26,True,2022-09-15 10:39:22,R_XNFetkjiWLgsRAR,,,,,30.2887,-97.7398,anonymous,EN,8,No,2,1,-1,8,7
2022-09-15 10:38:54,2022-09-15 10:39:24,Spam,128.62.71.32,100,29,True,2022-09-15 10:39:24,R_3JztfuHYWHxqLGN,,,,,30.2887,-97.7398,qr,EN,4,No,2,1,0,4,3
2022-09-15 10:39:02,2022-09-15 10:39:25,IP Address,128.62.34.41,100,23,True,2022-09-15 10:39:25,R_XHAhea8qw1NirId,,,,,30.2887,-97.7398,qr,EN,10,No,3,0,-1,10,10
2022-09-15 10:39:06,2022-09-15 10:39:29,IP Address,128.62.43.249,100,23,True,2022-09-15 10:39:30,R_11gON21xicqtqtK,,,,,30.3075,-97.7271,qr,EN,4,No,2,1,-1,4,3
2022-09-15 10:39:16,2022-09-15 10:39:30,IP Address,128.62.22.44,100,14,True,2022-09-15 10:39:31,R_1dhmi11q3h7Q7g5,,,,,30.2887,-97.7398,qr,EN,9,Yes,3,0,0,9,6
2022-09-15 10:39:24,2022-09-15 10:39:40,Spam,128.62.18.203,100,15,True,2022-09-15 10:39:40,R_bqPHXgY5NzLSKhb,,,,,30.2887,-97.7398,qr,EN,8,Yes,4,1,-1,8,4
2022-09-15 10:39:33,2022-09-15 10:39:42,IP Address,128.62.69.17,100,9,True,2022-09-15 10:39:42,R_2ZKM9iB6eREgPpq,,,,,30.2887,-97.7398,qr,EN,5,Yes,4,0,0,5,1
2022-09-15 10:39:32,2022-09-15 10:39:46,IP Address,128.62.16.103,100,13,True,2022-09-15 10:39:46,R_3HFWO6whZxQRXUg,,,,,30.2887,-97.7398,qr,EN,1,Yes,3,1,-1,1,1
2022-09-15 10:39:34,2022-09-15 10:39:46,IP Address,128.62.16.28,100,12,True,2022-09-15 10:39:46,R_2tmW1ky2rgpY2Gn,,,,,30.2887,-97.7398,anonymous,EN,2,Yes,3,1,-1,2,1
2022-09-15 10:39:02,2022-09-15 10:39:47,Spam,128.62.33.156,100,44,True,2022-09-15 10:39:47,R_RE9VboHPicH5Ob7,,,,,30.2887,-97.7398,qr,EN,7,No,3,1,0,7,6
2022-09-15 10:39:13,2022-09-15 10:39:48,Spam,128.62.38.32,100,35,True,2022-09-15 10:39:49,R_PtVgdoCJs7QuXM5,,,,,30.2887,-97.7398,qr,EN,1,No,4,1,0,1,1
2022-09-15 10:38:56,2022-09-15 10:39:51,IP Address,128.62.18.141,100,55,True,2022-09-15 10:39:51,R_2CQBU5cLDbHs2vD,,,,,30.2887,-97.7398,qr,EN,2,Yes,4,0,-1,2,1
2022-09-15 10:39:22,2022-09-15 10:39:57,IP Address,128.62.41.231,100,34,True,2022-09-15 10:39:58,R_33fKxZLz0eHKSwj,,,,,30.2887,-97.7398,qr,EN,7,Yes,3,0,-1,7,4
2022-09-15 10:39:26,2022-09-15 10:39:59,IP Address,128.62.73.18,100,32,True,2022-09-15 10:39:59,R_2X1dSuBmBPjHPU2,,,,,30.2887,-97.7398,qr,EN,8,No,2,0,-1,8,8
