id,z,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
1,1,-0.626453811,-0.896914547,-0.961933416,0.216754863,-0.840855481,0.269605982,2.287247161,-0.084586071,-0.766796035,0.018746171,-0.591031103,-1.480567595,0.554326939,-0.661849828,0.258822873,0.476413393,-1.015008716,0.926459238,-1.189453745,1.16268529
2,1,0.183643324,0.184849185,-0.292525723,-0.542492572,1.384359343,-0.629985414,-1.196771682,0.840400126,-0.816458344,-0.184252542,0.026594369,1.577169472,-0.28027194,1.718954157,1.8311207,-0.125379998,-0.079636737,1.822821169,0.38858123,-0.585924466
3,0,-0.835628612,1.587845331,0.258788216,0.891144645,-1.255491863,0.868659828,-0.69429251,-0.463482772,-0.141535186,-1.37133055,-1.516553097,-0.956744479,1.77516337,2.121666991,-0.339618568,1.096216199,-0.232987022,-1.610566898,-0.344333349,1.785465003
4,1,1.595280802,-1.130375674,-1.152131886,0.595980577,0.070142766,1.727195517,-0.412292951,-0.550835004,-0.27760503,-0.599167716,-1.362653349,-0.920005248,0.187320122,1.497153684,0.89719817,-1.444229035,-0.817267934,-0.285109752,-0.547896138,-1.33259371
5,0,0.329507772,-0.080251757,0.195782826,1.635618001,1.711440873,0.024187642,-0.970673341,0.736040432,0.436306898,0.294545127,1.178489156,-1.997642097,1.142526146,-0.036140578,0.488016284,1.147829295,0.772090839,-0.34207303,0.980662216,-0.446566767
6,0,-0.820468384,0.132420284,0.030123945,0.689275442,-0.602907981,0.368025177,-0.947279945,-0.107881402,-1.186872525,0.389794301,-0.93415132,-0.272296044,0.415526133,1.231945176,-1.25538582,-0.468412043,-0.165611935,0.366176146,-0.236646007,0.569606122
7,1,0.487429052,0.707954729,0.085417732,-1.28124663,-0.472166385,-1.309204298,0.74813934,-0.17028915,1.191986908,-1.208076175,1.323605646,-0.315348711,1.229506556,-0.064880768,0.022788205,-1.005950595,0.972874426,-1.327040849,0.809739704,-2.889717614
8,0,0.738324705,-0.239698024,1.116610213,-0.213144519,-0.635371313,0.738621931,-0.116955226,-1.088331712,-0.018190343,-0.363676017,0.62491779,-0.628255237,0.236679672,1.068993731,1.090773212,0.063562678,1.716533979,2.41259221,-0.744779529,-0.869018343
9,1,0.575781352,1.984473937,-1.218857416,1.896539872,-0.285773635,0.044872987,0.152657626,-3.011051676,-0.248084598,-1.626672682,-0.045722956,-0.106463885,-0.365382773,-0.376965306,-0.13212244,1.024972599,0.255237004,0.063815348,-0.259787013,-0.461702683
10,0,-0.305388387,-0.138787012,1.267368722,1.776863214,0.138108225,-1.0483972,2.189978107,-0.593174333,-0.362936891,-0.256478394,-1.004120576,0.428014802,1.105144272,1.043183093,-1.07500128,0.573142017,0.36658112,1.54551478,-0.18308383,-0.55554091
